"temp","temp contact load","Points:0","Points:1","Points:2"
-0.64723,2.1186e-10,0.55556,0.03125,0
-0.56304,2.3455e-10,0.57143,0.03125,0
-0.47856,0.0030485,0.5873,0.03125,0
-0.3962,0.0079605,0.60317,0.03125,0
-0.31983,0.0091344,0.61905,0.03125,0
-0.25022,0.0098154,0.63492,0.03125,0
-0.18806,0.010423,0.65079,0.03125,0
-0.13397,0.010953,0.66667,0.03125,0
-0.088494,0.011398,0.68254,0.03125,0
-0.052073,0.011754,0.69841,0.03125,0
-0.025072,0.012018,0.71429,0.03125,0
-0.0077608,0.012187,0.73016,0.03125,0
-0.00031082,0.01226,0.74603,0.03125,0
-0.0027962,0.012236,0.7619,0.03125,0
-0.015192,0.012115,0.77778,0.03125,0
-0.037376,0.011898,0.79365,0.03125,0
-0.069126,0.011587,0.80952,0.03125,0
-0.11013,0.011186,0.8254,0.03125,0
-0.15997,0.010698,0.84127,0.03125,0
-0.21817,0.010129,0.85714,0.03125,0
-0.28413,0.0094836,0.87302,0.03125,0
-0.35721,0.0087687,0.88889,0.03125,0
-0.43668,0.0079912,0.90476,0.03125,0
-0.52175,0.007159,0.92063,0.03125,0
-0.61157,0.0062803,0.93651,0.03125,0
-0.70524,0.0053638,0.95238,0.03125,0
-0.80185,0.0044187,0.96825,0.03125,0
-0.90043,0.0034542,0.98413,0.03125,0
-1,-0.096772,1,0.03125,0
-1,0.012443,0,0.046875,0
-1.0115,2.2257e-09,0.015873,0.046875,0
-1.0211,3.6687e-09,0.031746,0.046875,0
-1.029,5.1492e-09,0.047619,0.046875,0
-1.0356,6.3062e-09,0.063492,0.046875,0
-1.0411,6.6893e-09,0.079365,0.046875,0
-1.0457,6.983e-09,0.095238,0.046875,0
-1.0495,7.3978e-09,0.11111,0.046875,0
-1.0525,7.4168e-09,0.12698,0.046875,0
-1.0549,7.0204e-09,0.14286,0.046875,0
-1.0566,6.7369e-09,0.15873,0.046875,0
-1.0577,6.0853e-09,0.1746,0.046875,0
-1.0583,4.4958e-09,0.19048,0.046875,0
-1.0582,3.1977e-09,0.20635,0.046875,0
-1.0576,2.0739e-09,0.22222,0.046875,0
-1.0564,2.9407e-10,0.2381,0.046875,0
-1.0545,-8.9877e-10,0.25397,0.046875,0
-1.0521,-1.7252e-09,0.26984,0.046875,0
-1.049,-2.8171e-09,0.28571,0.046875,0
-1.0452,-4.0802e-09,0.30159,0.046875,0
-1.0407,-4.6869e-09,0.31746,0.046875,0
-1.0353,-5.1655e-09,0.33333,0.046875,0
-1.029,-6.0315e-09,0.34921,0.046875,0
-1.0216,-5.9292e-09,0.36508,0.046875,0
-1.0129,-5.0877e-09,0.38095,0.046875,0
-1.0028,-4.7786e-09,0.39683,0.046875,0
-0.99095,-4.3939e-09,0.4127,0.046875,0
-0.9768,-3.0386e-09,0.42857,0.046875,0
-0.95971,-2.4357e-09,0.44444,0.046875,0
-0.93866,-2.4612e-09,0.46032,0.046875,0
-0.91208,-2.6337e-09,0.47619,0.046875,0
-0.87748,-7.8511e-10,0.49206,0.046875,0
-0.83235,-1.9341e-10,0.50794,0.046875,0
-0.7755,2.4603e-10,0.52381,0.046875,0
-0.70846,-5.3008e-10,0.53968,0.046875,0
-0.63451,1.3022e-10,0.55556,0.046875,0
-0.55679,1.078e-10,0.57143,0.046875,0
-0.47728,3.4857e-10,0.5873,0.046875,0
-0.3962,0.0065117,0.60317,0.046875,0
-0.31983,0.0091344,0.61905,0.046875,0
-0.25022,0.0098154,0.63492,0.046875,0
-0.18806,0.010423,0.65079,0.046875,0
-0.13397,0.010953,0.66667,0.046875,0
-0.088494,0.011398,0.68254,0.046875,0
-0.052073,0.011754,0.69841,0.046875,0
-0.025072,0.012018,0.71429,0.046875,0
-0.0077608,0.012187,0.73016,0.046875,0
-0.00031082,0.01226,0.74603,0.046875,0
-0.0027962,0.012236,0.7619,0.046875,0
-0.015192,0.012115,0.77778,0.046875,0
-0.037376,0.011898,0.79365,0.046875,0
-0.069126,0.011587,0.80952,0.046875,0
-0.11013,0.011186,0.8254,0.046875,0
-0.15997,0.010698,0.84127,0.046875,0
-0.21817,0.010129,0.85714,0.046875,0
-0.28413,0.0094836,0.87302,0.046875,0
-0.35721,0.0087687,0.88889,0.046875,0
-0.43668,0.0079912,0.90476,0.046875,0
-0.52175,0.007159,0.92063,0.046875,0
-0.61157,0.0062803,0.93651,0.046875,0
-0.70524,0.0053638,0.95238,0.046875,0
-0.80185,0.0044187,0.96825,0.046875,0
-0.90043,0.0034542,0.98413,0.046875,0
-1,-0.096772,1,0.046875,0
-1,0.014845,0,0.0625,0
-1.0139,2.7759e-09,0.015873,0.0625,0
-1.0257,4.8179e-09,0.031746,0.0625,0
-1.0357,6.7982e-09,0.047619,0.0625,0
-1.0442,8.2503e-09,0.063492,0.0625,0
-1.0513,9.03e-09,0.079365,0.0625,0
-1.0572,9.5897e-09,0.095238,0.0625,0
-1.0622,1.014e-08,0.11111,0.0625,0
-1.0661,1.052e-08,0.12698,0.0625,0
-1.0692,1.021e-08,0.14286,0.0625,0
-1.0715,9.6952e-09,0.15873,0.0625,0
-1.073,9.0204e-09,0.1746,0.0625,0
-1.0737,7.2775e-09,0.19048,0.0625,0
-1.0736,5.4464e-09,0.20635,0.0625,0
-1.0728,3.8087e-09,0.22222,0.0625,0
-1.0712,1.823e-09,0.2381,0.0625,0
-1.0688,1.9333e-10,0.25397,0.0625,0
-1.0656,-1.1858e-09,0.26984,0.0625,0
-1.0615,-2.2261e-09,0.28571,0.0625,0
-1.0566,-3.8076e-09,0.30159,0.0625,0
-1.0506,-4.931e-09,0.31746,0.0625,0
-1.0436,-5.2754e-09,0.33333,0.0625,0
-1.0353,-6.1248e-09,0.34921,0.0625,0
-1.0257,-6.7322e-09,0.36508,0.0625,0
-1.0146,-6.3656e-09,0.38095,0.0625,0
-1.0016,-5.4693e-09,0.39683,0.0625,0
-0.98649,-5.0508e-09,0.4127,0.0625,0
-0.96867,-4.4041e-09,0.42857,0.0625,0
-0.9475,-2.9736e-09,0.44444,0.0625,0
-0.92207,-2.1311e-09,0.46032,0.0625,0
-0.89115,-1.9227e-09,0.47619,0.0625,0
-0.8533,-1.7252e-09,0.49206,0.0625,0
-0.80732,-7.4548e-10,0.50794,0.0625,0
-0.75284,-4.3028e-10,0.52381,0.0625,0
-0.69063,1.7179e-10,0.53968,0.0625,0
-0.62232,3.4671e-10,0.55556,0.0625,0
-0.54971,5.8335e-10,0.57143,0.0625,0
-0.47416,1.7666e-10,0.5873,0.0625,0
-0.3962,0.0039019,0.60317,0.0625,0
-0.31983,0.0091344,0.61905,0.0625,0
-0.25022,0.0098154,0.63492,0.0625,0
-0.18806,0.010423,0.65079,0.0625,0
-0.13397,0.010953,0.66667,0.0625,0
-0.088494,0.011398,0.68254,0.0625,0
-0.052073,0.011754,0.69841,0.0625,0
-0.025072,0.012018,0.71429,0.0625,0
-0.0077608,0.012187,0.73016,0.0625,0
-0.00031082,0.01226,0.74603,0.0625,0
-0.0027962,0.012236,0.7619,0.0625,0
-0.015192,0.012115,0.77778,0.0625,0
-0.037376,0.011898,0.79365,0.0625,0
-0.069126,0.011587,0.80952,0.0625,0
-0.11013,0.011186,0.8254,0.0625,0
-0.15997,0.010698,0.84127,0.0625,0
-0.21817,0.010129,0.85714,0.0625,0
-0.28413,0.0094836,0.87302,0.0625,0
-0.35721,0.0087687,0.88889,0.0625,0
-0.43668,0.0079912,0.90476,0.0625,0
-0.52175,0.007159,0.92063,0.0625,0
-0.61157,0.0062803,0.93651,0.0625,0
-0.70524,0.0053638,0.95238,0.0625,0
-0.80185,0.0044187,0.96825,0.0625,0
-0.90043,0.0034542,0.98413,0.0625,0
-1,-0.096772,1,0.0625,0
-1,0.016865,0,0.078125,0
-1.016,2.9924e-09,0.015873,0.078125,0
-1.0297,5.5105e-09,0.031746,0.078125,0
-1.0415,7.674e-09,0.047619,0.078125,0
-1.0516,9.0442e-09,0.063492,0.078125,0
-1.0602,1.0136e-08,0.079365,0.078125,0
-1.0674,1.0845e-08,0.095238,0.078125,0
